annais,sexe,preusuel,rank
1917,1,ANDRÉ,2.0
1917,1,PIERRE,3.0
1917,1,MARCEL,4.0
1917,1,RENÉ,5.0
1917,1,LOUIS,6.0
1917,1,HENRI,7.0
1917,1,GEORGES,8.0
1917,1,MAURICE,9.0
1917,1,JOSEPH,10.0
1917,2,MARIE,1.0
1917,2,JEANNE,2.0
1917,2,MADELEINE,3.0
1917,2,SUZANNE,4.0
1917,2,MARCELLE,5.0
1917,2,MARGUERITE,6.0
1917,2,YVONNE,7.0
1917,2,RENÉE,8.0
1917,2,GERMAINE,9.0
1917,2,ANDRÉE,10.0
1918,1,JEAN,1.0
1918,1,ANDRÉ,2.0
1918,1,PIERRE,3.0
1918,1,MARCEL,4.0
1918,1,RENÉ,5.0
1918,1,LOUIS,6.0
1918,1,HENRI,7.0
1918,1,GEORGES,8.0
1918,1,ROGER,9.0
1918,1,MAURICE,10.0
1918,2,MARIE,1.0
1918,2,JEANNE,2.0
1918,2,MADELEINE,3.0
1918,2,MARCELLE,4.0
1918,2,SUZANNE,5.0
1918,2,YVONNE,6.0
1918,2,MARGUERITE,7.0
1918,2,RENÉE,8.0
1918,2,GERMAINE,9.0
1918,2,ANDRÉE,11.0
1919,1,JEAN,1.0
1919,1,ANDRÉ,2.0
1919,1,MARCEL,3.0
1919,1,PIERRE,4.0
1919,1,RENÉ,5.0
1919,1,LOUIS,6.0
1919,1,HENRI,7.0
1919,1,GEORGES,8.0
1919,1,ROGER,9.0
1919,1,MAURICE,10.0
1919,2,MARIE,1.0
1919,2,JEANNE,2.0
1919,2,MADELEINE,3.0
1919,2,YVONNE,4.0
1919,2,SUZANNE,5.0
1919,2,MARCELLE,6.0
1919,2,MARGUERITE,7.0
1919,2,RENÉE,8.0
1919,2,PAULETTE,9.0
1919,2,ANDRÉE,10.0
1920,1,JEAN,1.0
1920,1,ANDRÉ,2.0
1920,1,PIERRE,3.0
1920,1,RENÉ,4.0
1920,1,MARCEL,5.0
1920,1,ROGER,6.0
1920,1,LOUIS,7.0
1920,1,HENRI,8.0
1920,1,GEORGES,9.0
1920,1,ROBERT,10.0
1920,2,MARIE,1.0
1920,2,JEANNE,2.0
1920,2,MADELEINE,3.0
1920,2,SUZANNE,4.0
1920,2,YVONNE,5.0
1920,2,MARCELLE,6.0
1920,2,MARGUERITE,7.0
1920,2,PAULETTE,8.0
1920,2,RENÉE,9.0
1920,2,DENISE,10.0
1921,1,JEAN,1.0
1921,1,ANDRÉ,2.0
1921,1,PIERRE,3.0
